CustomerID,Recency_Days,Frequency_Orders,Monetary_Avg_Order_Value,Tenure_Days,Customer_Age,Acquisition_Channel,Country,Membership_Tier,Returns_Rate,Churn_Status,Future_1Year_CLV
CUST-10045,49,4,107.28,68,21,Email Referral,Indonesia,Bronze,0.308,0,914.67
CUST-10046,17,4,170.78,46,24,Google Ads,United Kingdom,Gold,0.072,0,2553.33
CUST-10047,34,14,206.59,64,24,Organic Search,United Kingdom,Bronze,0.006,0,6255.43
CUST-10048,36,6,134.32,61,18,Paid Social,United Kingdom,Bronze,0.215,0,1733.65
CUST-10049,10,9,192.34,81,57,Organic Search,Australia,Silver,0.091,0,4636.39
CUST-10050,158,12,128.14,243,69,Paid Social,United States,Gold,0.158,0,5724.34
CUST-10051,68,17,230.98,104,41,Paid Social,United Kingdom,Silver,0.161,0,10638.6
CUST-10052,127,11,38.56,245,49,Direct,United States,Gold,0.351,1,357.62
CUST-10053,102,13,72.34,198,27,Direct,United States,Standard,0.108,0,1642.43
CUST-10054,41,14,99.85,238,26,Email Referral,Australia,Standard,0.276,0,2475.67
CUST-10055,115,5,192.09,169,56,Paid Social,Indonesia,Standard,0.205,0,1655.71
CUST-10056,5,14,153.64,461,20,Paid Social,United Kingdom,Gold,0.073,0,8163.43
CUST-10057,10,8,81.44,155,61,Organic Search,Germany,Silver,0.176,0,1785.23
CUST-10058,3,14,137.05,193,52,Google Ads,France,Bronze,0.167,0,4153.89
CUST-10059,18,6,39.81,40,22,Email Referral,Australia,Standard,0.125,0,465.44
CUST-10060,23,4,50.86,185,24,Email Referral,United Kingdom,Standard,0.131,0,387.77
CUST-10061,15,11,46.38,112,29,Google Ads,United Kingdom,Silver,0.193,0,1406.88
CUST-10062,80,9,64.79,559,40,Direct,Germany,Standard,0.136,0,1140.82
CUST-10063,20,12,187.6,425,42,Paid Social,Germany,Bronze,0.143,0,4911.68
CUST-10064,15,10,156.67,212,34,Paid Social,Germany,Bronze,0.151,0,3392.86
CUST-10065,36,3,109.21,313,31,Direct,United Kingdom,Standard,0.138,0,543.05
CUST-10066,7,20,190.87,208,52,Email Referral,Australia,Gold,0.164,0,14349.98
CUST-10067,73,8,238.83,91,18,Google Ads,United States,Standard,0.408,0,3351.18
CUST-10068,4,3,66.52,237,39,Organic Search,France,Gold,0.074,0,801.65
CUST-10069,196,9,226.57,246,45,Paid Social,Germany,Bronze,0.177,1,1073.23
CUST-10070,67,9,81.07,288,40,Paid Social,Indonesia,Standard,0.093,0,1317.3
CUST-10071,10,7,89.63,26,35,Paid Social,United Kingdom,Silver,0.499,0,1646.36
CUST-10072,1,7,305.77,83,63,Google Ads,United Kingdom,Silver,0.152,0,5889.33
CUST-10073,77,12,139.8,222,62,Paid Social,Australia,Silver,0.023,0,4439.73
CUST-10074,56,12,97.1,143,61,Direct,Germany,Bronze,0.234,0,2523.76
CUST-10075,59,7,172.96,287,54,Paid Social,United Kingdom,Silver,0.068,0,3251.01
CUST-10076,67,5,203.49,215,20,Organic Search,Indonesia,Gold,0.057,0,3846.88
CUST-10077,4,5,140.72,596,31,Organic Search,Australia,Standard,0.256,0,1250.45
CUST-10078,20,11,97.14,114,56,Organic Search,Indonesia,Standard,0.231,0,1878.8
CUST-10079,6,11,153.05,251,24,Email Referral,United Kingdom,Standard,0.072,0,2974.49
CUST-10080,90,18,179.04,430,34,Organic Search,United Kingdom,Gold,0.024,0,12284.3
CUST-10081,44,11,118.43,111,23,Paid Social,Germany,Bronze,0.246,0,2799.0
CUST-10082,19,22,296.04,286,64,Google Ads,Germany,Standard,0.057,0,11740.3
CUST-10083,3,8,149.53,107,36,Organic Search,Australia,Standard,0.074,0,2073.53
CUST-10084,17,7,197.52,56,32,Organic Search,Australia,Standard,0.006,0,2382.9
CUST-10085,18,6,200.69,33,56,Paid Social,Indonesia,Silver,0.038,0,3217.35
CUST-10086,59,14,52.12,319,22,Email Referral,United Kingdom,Silver,0.036,0,2013.79
CUST-10087,46,20,173.43,98,32,Direct,United States,Gold,0.481,0,13112.72
CUST-10088,99,11,182.7,123,69,Email Referral,Indonesia,Silver,0.168,0,5399.19
CUST-10089,29,10,96.21,167,62,Direct,United Kingdom,Standard,0.249,0,1753.27
CUST-10090,6,6,87.75,97,43,Organic Search,United Kingdom,Silver,0.203,0,1394.03
CUST-10091,57,10,51.58,283,56,Paid Social,France,Bronze,0.092,0,1182.96
CUST-10092,65,5,250.35,100,62,Google Ads,United Kingdom,Silver,0.163,0,3450.6
CUST-10093,38,4,78.76,78,30,Google Ads,Indonesia,Bronze,0.009,0,651.62
CUST-10094,67,8,53.04,175,48,Email Referral,United Kingdom,Bronze,0.169,0,877.7
CUST-10095,31,13,106.44,178,30,Paid Social,Germany,Standard,0.06,0,2487.03
CUST-10096,34,9,70.8,361,40,Organic Search,Australia,Gold,0.245,0,2429.95
CUST-10097,26,10,52.48,199,57,Organic Search,Australia,Standard,0.273,0,930.95
CUST-10098,2,3,372.69,436,49,Organic Search,United States,Bronze,0.099,0,2467.33
CUST-10099,6,8,68.23,65,54,Organic Search,United States,Standard,0.128,0,995.79
CUST-10100,2,8,81.66,180,21,Google Ads,Australia,Standard,0.078,0,1230.32
CUST-10101,46,29,136.81,252,34,Organic Search,Indonesia,Gold,0.125,0,14941.0
CUST-10102,17,22,51.97,264,37,Paid Social,France,Standard,0.079,0,2028.38
CUST-10103,32,12,121.48,853,63,Direct,France,Standard,0.392,0,2650.63
CUST-10104,108,19,176.63,236,28,Paid Social,Germany,Standard,0.051,0,6043.39
CUST-10105,13,5,144.61,110,59,Organic Search,Germany,Bronze,0.048,0,1552.41
CUST-10106,24,9,161.56,383,50,Email Referral,Indonesia,Bronze,0.104,0,3114.77
CUST-10107,64,10,119.06,114,56,Google Ads,France,Standard,0.252,0,2147.42
CUST-10108,12,5,98.14,33,23,Organic Search,Indonesia,Bronze,0.042,0,1131.32
CUST-10109,4,3,163.16,124,56,Google Ads,United Kingdom,Gold,0.196,0,1749.78
CUST-10110,16,6,157.14,82,64,Organic Search,Germany,Standard,0.078,0,1689.51
CUST-10111,8,10,66.44,113,55,Email Referral,United Kingdom,Bronze,0.222,0,1429.68
CUST-10112,120,16,135.71,904,35,Organic Search,Germany,Bronze,0.368,0,4635.77
CUST-10113,75,16,123.52,167,19,Paid Social,France,Standard,0.146,0,3549.58
CUST-10114,46,4,179.04,282,58,Paid Social,United States,Bronze,0.097,0,1464.93
CUST-10115,93,11,152.38,159,55,Email Referral,United Kingdom,Standard,0.353,1,725.07
CUST-10116,74,3,8.1,154,34,Email Referral,United Kingdom,Silver,0.304,0,52.19
CUST-10117,10,6,237.31,75,41,Google Ads,Indonesia,Standard,0.156,0,2562.69
CUST-10118,101,7,205.0,268,47,Organic Search,Australia,Bronze,0.203,0,3193.36
CUST-10119,35,14,217.93,96,60,Email Referral,United Kingdom,Standard,0.016,0,5451.03
CUST-10120,75,8,181.74,318,41,Organic Search,United Kingdom,Gold,0.104,0,5429.59
CUST-10121,102,13,212.74,322,21,Paid Social,United Kingdom,Bronze,0.206,0,6023.35
CUST-10122,18,13,103.15,131,24,Paid Social,United States,Silver,0.013,0,3397.42
CUST-10123,6,2,200.72,25,32,Organic Search,France,Gold,0.021,0,1486.49
CUST-10124,12,13,123.89,31,47,Organic Search,Germany,Standard,0.123,0,2882.74
CUST-10125,26,8,53.16,177,46,Google Ads,France,Gold,0.329,0,1560.5
CUST-10126,77,9,199.23,420,66,Organic Search,Germany,Silver,0.028,0,4836.54
CUST-10127,89,8,145.23,268,61,Paid Social,United Kingdom,Standard,0.046,0,2058.89
CUST-10128,1,6,258.86,118,62,Email Referral,United States,Standard,0.159,0,2708.62
CUST-10129,33,17,134.85,432,30,Organic Search,United States,Silver,0.107,0,6220.52
CUST-10130,25,21,80.33,79,57,Organic Search,Indonesia,Bronze,0.14,0,3676.61
CUST-10131,12,9,92.47,107,56,Paid Social,Australia,Bronze,0.113,0,1748.24
CUST-10132,6,9,112.73,170,46,Organic Search,France,Gold,0.221,0,3808.01
CUST-10133,19,14,147.56,96,43,Direct,United Kingdom,Gold,0.186,0,7901.68
CUST-10134,129,5,214.33,1238,53,Direct,United Kingdom,Standard,0.137,1,504.67
CUST-10135,18,6,145.88,141,52,Paid Social,France,Standard,0.006,0,1575.51
CUST-10136,33,21,65.55,57,66,Organic Search,United Kingdom,Gold,0.114,0,5284.23
CUST-10137,55,8,148.55,104,65,Paid Social,United Kingdom,Silver,0.364,0,3127.6
CUST-10138,21,5,232.19,172,36,Organic Search,United Kingdom,Silver,0.015,0,3032.92
CUST-10139,161,15,136.51,319,19,Paid Social,Australia,Standard,0.248,1,929.79
CUST-10140,148,15,160.97,908,31,Organic Search,United Kingdom,Bronze,0.133,0,5257.43
CUST-10141,14,22,121.6,193,33,Email Referral,United Kingdom,Bronze,0.039,0,5692.9
CUST-10142,31,16,121.02,243,66,Organic Search,Indonesia,Standard,0.507,0,3420.4
CUST-10143,17,1,218.7,75,53,Paid Social,France,Silver,0.182,0,630.14
CUST-10144,16,11,190.41,51,57,Organic Search,United Kingdom,Standard,0.152,0,3712.5
CUST-10145,2,7,388.18,182,58,Paid Social,United States,Bronze,0.161,0,5856.47
CUST-10146,43,6,98.2,418,48,Organic Search,United Kingdom,Standard,0.041,0,1071.05
CUST-10147,32,4,86.52,206,65,Direct,United States,Standard,0.09,0,670.69
CUST-10148,3,9,54.37,123,65,Paid Social,France,Bronze,0.244,0,1041.63
CUST-10149,15,9,112.09,185,66,Organic Search,United Kingdom,Standard,0.313,0,1840.48
CUST-10150,108,12,124.75,236,52,Paid Social,United States,Standard,0.107,0,2632.62
CUST-10151,13,7,84.23,55,39,Organic Search,Germany,Standard,0.245,0,1090.74
CUST-10152,8,13,163.13,266,38,Paid Social,France,Bronze,0.141,0,4535.25
CUST-10153,31,22,192.42,183,45,Organic Search,Indonesia,Standard,0.037,0,7550.8
CUST-10154,191,14,159.23,297,34,Paid Social,United Kingdom,Standard,0.504,1,1106.41
CUST-10155,13,6,70.26,175,67,Paid Social,United Kingdom,Gold,0.037,0,1685.0
CUST-10156,51,4,87.97,115,35,Google Ads,Australia,Standard,0.15,0,640.79
CUST-10157,65,4,133.22,180,49,Paid Social,Germany,Standard,0.348,1,317.15
CUST-10158,13,21,226.14,203,40,Google Ads,Germany,Standard,0.091,0,8531.8
CUST-10159,59,15,118.34,120,23,Direct,United Kingdom,Gold,0.083,0,6703.08
CUST-10160,21,4,34.68,284,46,Direct,Germany,Bronze,0.073,0,290.81
CUST-10161,46,10,111.51,193,23,Organic Search,Germany,Standard,0.305,0,1961.51
CUST-10162,46,20,128.78,417,50,Google Ads,United Kingdom,Silver,0.253,0,6836.91
CUST-10163,35,4,273.12,388,65,Paid Social,United Kingdom,Silver,0.227,1,721.96
CUST-10164,5,7,34.44,142,49,Paid Social,France,Gold,0.141,0,976.4
CUST-10165,82,5,193.19,136,34,Google Ads,United Kingdom,Silver,0.158,1,665.81
CUST-10166,18,10,54.88,273,21,Organic Search,Germany,Standard,0.151,0,1028.57
CUST-10167,10,10,99.78,122,65,Paid Social,France,Bronze,0.145,0,2174.9
CUST-10168,2,1,156.49,179,48,Email Referral,United Kingdom,Standard,0.096,0,239.35
CUST-10169,41,6,206.48,76,39,Organic Search,France,Silver,0.168,0,3357.39
CUST-10170,51,3,88.46,245,44,Google Ads,United Kingdom,Bronze,0.211,1,126.69
CUST-10171,1,15,101.7,100,38,Paid Social,Australia,Silver,0.148,0,4065.72
CUST-10172,33,11,117.49,121,37,Email Referral,Australia,Standard,0.147,0,2372.28
CUST-10173,12,13,85.59,730,51,Direct,United States,Standard,0.132,0,1937.54
CUST-10174,47,9,259.2,163,40,Email Referral,United Kingdom,Standard,0.217,0,4166.09
CUST-10175,9,27,144.86,227,61,Google Ads,Indonesia,Platinum,0.027,0,22639.48
CUST-10176,53,8,184.72,245,33,Organic Search,Australia,Standard,0.188,0,2695.04
CUST-10177,23,15,118.28,57,23,Paid Social,Germany,Silver,0.05,0,4802.59
CUST-10178,125,6,34.23,388,33,Email Referral,France,Standard,0.086,1,0.0
CUST-10179,7,11,117.73,92,24,Email Referral,United Kingdom,Standard,0.363,0,2325.16
CUST-10180,19,11,216.22,322,31,Organic Search,United Kingdom,Standard,0.194,0,4222.93
CUST-10181,6,13,40.04,189,20,Email Referral,Germany,Silver,0.246,0,1401.51
CUST-10182,117,4,128.11,200,50,Organic Search,France,Bronze,0.055,0,1097.35
CUST-10183,95,2,169.51,189,66,Organic Search,United Kingdom,Bronze,0.12,1,140.24
CUST-10184,14,7,105.72,265,69,Paid Social,United Kingdom,Silver,0.05,0,2056.73
CUST-10185,49,21,89.79,207,53,Email Referral,United States,Standard,0.042,0,3441.81
CUST-10186,77,5,141.79,290,56,Direct,Germany,Bronze,0.153,0,1475.03
CUST-10187,37,13,80.17,83,46,Email Referral,France,Bronze,0.104,0,2329.88
CUST-10188,34,7,49.28,327,56,Email Referral,France,Bronze,0.072,0,687.63
CUST-10189,13,9,106.18,97,21,Organic Search,Germany,Bronze,0.088,0,2147.35
CUST-10190,5,12,290.55,194,56,Organic Search,United Kingdom,Standard,0.207,0,6265.34
CUST-10191,103,7,166.62,139,57,Email Referral,France,Gold,0.27,1,1082.17
CUST-10192,104,14,96.89,188,58,Organic Search,United Kingdom,Platinum,0.061,1,2027.75
CUST-10193,46,8,170.26,249,39,Email Referral,United States,Bronze,0.151,0,2933.88
CUST-10194,19,14,232.54,91,32,Organic Search,United Kingdom,Standard,0.194,0,5914.89
CUST-10195,20,15,84.88,417,21,Paid Social,United Kingdom,Bronze,0.217,0,2685.06
CUST-10196,59,7,170.11,268,35,Google Ads,Germany,Standard,0.044,0,2144.81
CUST-10197,103,25,104.68,485,61,Google Ads,France,Standard,0.337,0,4734.33
CUST-10198,99,6,246.1,204,40,Paid Social,France,Platinum,0.331,1,2186.12
CUST-10199,69,3,96.14,90,55,Organic Search,United Kingdom,Bronze,0.115,0,658.61
CUST-10200,47,22,102.82,216,21,Direct,Germany,Bronze,0.101,0,4888.25
CUST-10201,4,7,160.65,93,21,Google Ads,United Kingdom,Platinum,0.112,0,6501.09
CUST-10202,8,8,78.32,130,35,Google Ads,United States,Gold,0.09,0,2332.01
CUST-10203,103,11,75.45,323,18,Organic Search,United Kingdom,Bronze,0.018,0,1822.9
CUST-10204,42,7,240.8,274,49,Paid Social,United States,Standard,0.243,0,3057.96
CUST-10205,1,18,216.52,21,38,Organic Search,Indonesia,Standard,0.111,0,6976.37
CUST-10206,5,14,187.9,283,55,Organic Search,Australia,Gold,0.095,0,9949.82
CUST-10207,50,15,88.56,187,43,Organic Search,Indonesia,Gold,0.109,0,5059.91
CUST-10208,1,3,336.77,162,58,Paid Social,United Kingdom,Bronze,0.081,0,2304.46
CUST-10209,8,19,130.8,86,66,Direct,Germany,Standard,0.208,0,4532.64
CUST-10210,36,4,139.86,149,38,Paid Social,United Kingdom,Bronze,0.021,0,1219.64
CUST-10211,53,11,281.32,291,60,Email Referral,United Kingdom,Standard,0.306,0,5584.37
CUST-10212,48,6,125.12,332,46,Direct,United Kingdom,Standard,0.023,0,1344.03
CUST-10213,12,7,83.99,115,58,Organic Search,France,Gold,0.193,0,2227.94
CUST-10214,57,22,179.29,283,60,Organic Search,Germany,Standard,0.046,0,7138.7
CUST-10215,13,14,141.56,81,49,Organic Search,Indonesia,Silver,0.085,0,5388.55
CUST-10216,18,5,191.69,354,21,Google Ads,Germany,Standard,0.06,0,1720.95
CUST-10217,62,14,256.63,246,30,Email Referral,France,Silver,0.043,0,9645.65
CUST-10218,48,12,264.79,331,68,Paid Social,Germany,Silver,0.282,0,8568.49
CUST-10219,86,6,94.64,217,52,Google Ads,United States,Standard,0.13,0,980.32
CUST-10220,49,7,106.15,110,44,Organic Search,Indonesia,Standard,0.179,0,1276.71
CUST-10221,38,14,29.6,153,18,Organic Search,Germany,Standard,0.231,0,776.34
CUST-10222,5,1,83.24,106,66,Email Referral,United Kingdom,Silver,0.182,0,242.02
CUST-10223,21,8,123.41,108,66,Google Ads,United Kingdom,Bronze,0.053,0,2086.58
CUST-10224,14,9,243.54,71,56,Organic Search,France,Standard,0.19,0,3929.12
CUST-10225,13,9,120.99,284,31,Organic Search,United Kingdom,Standard,0.376,0,1975.38
CUST-10226,163,14,206.55,194,54,Paid Social,United States,Standard,0.099,1,1314.14
CUST-10227,23,20,91.38,431,47,Organic Search,France,Standard,0.175,0,3311.64
CUST-10228,101,10,67.33,150,31,Email Referral,France,Silver,0.068,1,416.37
CUST-10229,45,21,128.84,763,28,Email Referral,United States,Bronze,0.256,0,5862.08
CUST-10230,72,7,150.62,890,48,Paid Social,United States,Standard,0.156,0,1895.43
CUST-10231,32,6,84.11,138,45,Google Ads,France,Silver,0.084,0,1401.18
CUST-10232,39,7,61.39,847,44,Email Referral,United Kingdom,Bronze,0.161,0,981.96
CUST-10233,31,13,97.11,411,20,Organic Search,Germany,Silver,0.284,0,3560.02
CUST-10234,10,11,178.37,40,23,Paid Social,Germany,Silver,0.031,0,5363.07
CUST-10235,58,10,128.62,602,56,Paid Social,Australia,Silver,0.06,0,3479.04
CUST-10236,15,9,74.03,37,36,Google Ads,France,Silver,0.215,0,1797.04
CUST-10237,2,17,80.42,53,58,Email Referral,Germany,Bronze,0.18,0,2906.23
CUST-10238,47,4,189.19,220,51,Paid Social,Germany,Silver,0.006,1,465.26
CUST-10239,9,7,116.05,39,45,Google Ads,United Kingdom,Silver,0.336,0,2206.92
CUST-10240,127,11,52.08,173,29,Paid Social,Germany,Standard,0.032,0,1046.31
CUST-10241,139,8,229.36,706,56,Google Ads,United Kingdom,Standard,0.074,1,959.51
CUST-10242,111,9,54.21,1068,27,Organic Search,United Kingdom,Standard,0.319,1,183.17
CUST-10243,21,11,212.6,324,69,Organic Search,United Kingdom,Standard,0.188,0,4167.9
CUST-10244,1,14,92.77,146,64,Google Ads,France,Silver,0.042,0,3519.21
CUST-10245,119,26,71.49,549,42,Organic Search,Indonesia,Gold,0.037,0,7000.85
CUST-10246,26,5,138.6,62,40,Email Referral,United States,Bronze,0.126,0,1516.34
CUST-10247,154,24,112.04,684,43,Email Referral,United Kingdom,Gold,0.463,0,10140.58
CUST-10248,150,12,96.23,242,36,Email Referral,United Kingdom,Standard,0.119,1,505.37
CUST-10249,87,10,142.71,457,55,Google Ads,Germany,Silver,0.229,0,3874.65
CUST-10250,16,22,58.86,229,37,Paid Social,United Kingdom,Standard,0.05,0,2302.51
CUST-10251,22,9,134.23,617,62,Google Ads,United Kingdom,Gold,0.192,0,4548.48
CUST-10252,86,5,139.47,461,69,Email Referral,Germany,Silver,0.065,0,1909.28
CUST-10253,18,15,92.36,426,61,Paid Social,United Kingdom,Platinum,0.079,0,7982.23
CUST-10254,9,4,13.84,203,35,Paid Social,United Kingdom,Silver,0.023,0,117.48
CUST-10255,37,6,114.94,374,65,Direct,Germany,Standard,0.11,0,1217.25
CUST-10256,124,9,113.02,393,28,Organic Search,Germany,Standard,0.159,0,1883.04
CUST-10257,54,7,106.62,100,42,Email Referral,France,Gold,0.201,0,2836.68
CUST-10258,38,22,41.93,241,60,Organic Search,United Kingdom,Bronze,0.116,0,1974.44
CUST-10259,5,11,135.01,48,18,Organic Search,United Kingdom,Gold,0.069,0,5657.01
CUST-10260,43,5,200.14,424,49,Direct,United Kingdom,Standard,0.032,0,1823.07
CUST-10261,208,5,109.33,235,50,Organic Search,United Kingdom,Standard,0.184,1,313.74
CUST-10262,7,23,59.28,804,24,Email Referral,United Kingdom,Standard,0.14,0,2498.48
CUST-10263,33,3,159.18,140,48,Paid Social,United Kingdom,Bronze,0.076,0,1089.81
CUST-10264,95,9,259.47,143,43,Google Ads,Germany,Standard,0.007,0,4186.4
CUST-10265,61,17,73.79,569,24,Google Ads,France,Silver,0.102,0,3342.52
CUST-10266,54,7,75.35,77,53,Organic Search,United Kingdom,Standard,0.29,0,988.0
CUST-10267,55,9,232.61,184,63,Paid Social,United Kingdom,Bronze,0.188,0,4561.0
CUST-10268,21,9,114.8,300,41,Organic Search,Germany,Silver,0.198,0,2784.41
CUST-10269,16,12,39.78,99,22,Paid Social,France,Standard,0.028,0,807.08
CUST-10270,75,19,301.37,225,39,Email Referral,United Kingdom,Standard,0.105,0,10322.2
CUST-10271,75,9,22.84,306,61,Organic Search,United Kingdom,Silver,0.265,0,574.43
CUST-10272,91,6,35.78,652,53,Google Ads,Germany,Gold,0.272,1,134.99
CUST-10273,111,5,62.24,145,20,Organic Search,United Kingdom,Standard,0.079,1,158.75
CUST-10274,33,5,181.74,78,67,Organic Search,France,Bronze,0.121,0,2020.32
CUST-10275,32,7,190.05,174,54,Organic Search,France,Platinum,0.269,0,7597.12
CUST-10276,73,16,53.52,185,55,Organic Search,France,Bronze,0.273,0,1876.11
CUST-10277,48,5,76.96,158,63,Paid Social,United Kingdom,Gold,0.183,0,1520.06
CUST-10278,55,10,147.83,133,23,Organic Search,United States,Gold,0.195,0,5656.62
CUST-10279,72,19,257.56,235,69,Direct,Indonesia,Gold,0.043,0,18404.24
CUST-10280,100,7,21.29,501,42,Direct,United Kingdom,Silver,0.065,1,154.98
CUST-10281,19,5,37.14,65,40,Paid Social,United Kingdom,Bronze,0.139,0,385.43
CUST-10282,22,4,92.58,80,29,Email Referral,France,Standard,0.01,0,645.09
CUST-10283,5,8,47.67,220,45,Direct,France,Standard,0.001,0,812.07
CUST-10284,39,14,225.41,64,61,Google Ads,Germany,Standard,0.345,0,5691.33
CUST-10285,2,3,119.79,218,57,Organic Search,Indonesia,Standard,0.106,0,627.72
CUST-10286,29,14,214.86,111,49,Google Ads,United Kingdom,Standard,0.099,0,5454.43
CUST-10287,36,11,148.81,130,69,Organic Search,Germany,Standard,0.009,0,3030.72
CUST-10288,16,3,178.4,124,42,Paid Social,United Kingdom,Standard,0.152,0,972.03
CUST-10289,41,12,83.49,133,51,Paid Social,United Kingdom,Standard,0.23,0,1776.7
CUST-10290,2,5,33.34,348,47,Email Referral,United Kingdom,Standard,0.281,0,304.62
CUST-10291,2,2,111.35,542,54,Organic Search,Germany,Standard,0.086,0,455.4
CUST-10292,78,17,200.95,235,35,Organic Search,Germany,Silver,0.186,0,9208.06
CUST-10293,21,3,296.83,192,52,Google Ads,United Kingdom,Silver,0.192,0,2458.91
CUST-10294,7,12,107.03,35,65,Google Ads,France,Gold,0.366,0,4847.86
CUST-10295,34,17,182.41,273,54,Paid Social,Germany,Silver,0.032,0,8279.89
CUST-10296,67,9,82.56,239,58,Email Referral,United Kingdom,Standard,0.039,0,1413.47
CUST-10297,11,6,97.51,35,23,Email Referral,United Kingdom,Silver,0.041,0,1596.43
CUST-10298,44,9,118.47,98,36,Paid Social,United Kingdom,Silver,0.092,1,772.4
CUST-10299,5,9,268.61,60,39,Organic Search,France,Bronze,0.247,0,5236.89
CUST-10300,3,8,178.86,51,49,Paid Social,France,Silver,0.307,0,3865.24
CUST-10301,35,12,165.24,243,44,Direct,France,Standard,0.502,0,3606.03
CUST-10302,36,8,261.04,525,33,Google Ads,United Kingdom,Bronze,0.035,0,4503.07
CUST-10303,46,3,76.76,320,43,Paid Social,Indonesia,Bronze,0.141,1,215.02
CUST-10304,59,5,106.4,190,56,Organic Search,Germany,Silver,0.049,1,357.58
CUST-10305,168,10,165.93,276,21,Google Ads,United States,Standard,0.217,1,837.62
CUST-10306,33,5,89.31,135,33,Email Referral,United Kingdom,Standard,0.027,0,834.02
CUST-10307,18,6,103.53,198,69,Paid Social,Germany,Bronze,0.191,0,1222.69
